date;heure;dept;ville;CP;adresse;adresse complete;carr;lieu_1_nomv;lieu_2_nomv;vehicule_1_cadmin;vehicule_1_lveh;vehicle_2_cadmin;vehicule_2_lveh;vehicule_3_cadmin;vehicule_3_lveh;usager_1_catu;usager_1_grav;usager_1_lveh;usager_2_catu;usager_2_grav;usager_2_lveh;usager_3_catu;usager_3_grav;usager_3_lveh;usager_4_catu;usager_4_grav;usager_4_lveh;wgs84
2013-10-28;11:40;75;Paris;75016;205, AVENUE DE VERSAILLE;205, AVENUE DE VERSAILLES;;AVENUE DE VERSAILLES;;VL;A;;;;;Cond;Indem;A;Piéton;BL;A;;;;;;;48.838509, 2.259856
2013-05-24;17:15;75;Paris;75016;5-7, RUE ABEL FERRY;5-7, RUE ABEL FERRY;;RUE ABEL FERRY;;Scoo>125;A;;;;;Cond;BH;A;;;;;;;;;;48.836457, 2.260626
2012-12-27;07:10;75;Paris;75016;/, AVENUE FOCH;AVENUE FOCH;1_75116_1035;AVENUE FOCH;AVENUE BUGEAUD;VU;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.873537, 2.292366
2012-05-22;16:15;75;Paris;75016;30 BIS, AVENUE PAUL DOUM;30 BIS, AVENUE PAUL DOUMER;;AVENUE PAUL DOUMER;;Moto>125;A;;;;;Cond;Indem;A;Piéton;BH;A;;;;;;;48.860731, 2.28235
2013-08-08;09:30;75;Paris;75016;ALLEE DE LA REINE MARGUE;ALLEE DE LA REINE MARGUERITE;1_75116_74;ALLEE DE LA REINE MARGUERITE;AVENUE DE L HIPPODROME;VL;A;Scoo>125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.861469, 2.246801
2013-02-07;19:20;75;Paris;75016;ALLEE DE LA REINE MARGUE;ALLEE DE LA REINE MARGUERITE;1_75116_109;ALLEE DE LA REINE MARGUERITE;ALLEE DE LONGCHAMP;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.861469, 2.246801
2012-05-29;11:30;75;Paris;75016;ALLEE DE LA REINE MARGUE;ALLEE DE LA REINE MARGUERITE;1_75116_57;ALLEE DE LA REINE MARGUERITE;ROUTE DU POINT DU JOUR A SURESNES;VU;A;VL;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.861469, 2.246801
2012-11-22;22:20;75;Paris;75016;ALLEE DE LA REINE MARGUE;ALLEE DE LA REINE MARGUERITE;1_75116_74;ALLEE DE LA REINE MARGUERITE;AVENUE DE L HIPPODROME;Cyclo;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.861469, 2.246801
2013-05-23;17:30;75;Paris;75016;ALLEE DE LA REINE MARGUE;ALLEE DE LA REINE MARGUERITE;;ALLEE DE LA REINE MARGUERITE;;VL;A;Moto50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.861469, 2.246801
2013-01-10;00:15;75;Paris;75016;ALLEE DE LONGCHAMP;ALLEE DE LONGCHAMP;1_75116_905;ALLEE DE LONGCHAMP;ALLEE FORTUNEE;Cyclo;A;;;;;Cond;BL;A;;;;;;;;;;48.870555, 2.258965
2013-12-05;04:50;75;Paris;75016;ALLEE DE LONGCHAMP;ALLEE DE LONGCHAMP;;ALLEE DE LONGCHAMP;;VL;A;Scoo>125;B;;;Cond;Indem;A;Cond;Indem;B;Pass;BL;B;;;;48.870555, 2.258965
2013-05-06;16:40;75;Paris;75016;ALLEE DE LONGCHAMP;ALLEE DE LONGCHAMP;1_75116_98;ALLEE DE LONGCHAMP;ROUTE DU POINT DU JOUR A BAGATELLE;VL;A;;;;;Cond;Indem;A;Piéton;BL;A;;;;;;;48.870555, 2.258965
2012-07-20;08:30;75;Paris;75016;ALLEE DU BORD DE L EAU;ALLEE DU BORD DE L EAU;;ALLEE DU BORD DE L EAU;;PL>7,5;A;;;;;Cond;BL;A;;;;;;;;;;48.869218, 2.237159
2012-09-06;18:15;75;Paris;75016;ALLEE DU BORD DE L EAU;ALLEE DU BORD DE L EAU;;ALLEE DU BORD DE L EAU;;Cyclo;A;;;;;Cond;BL;A;;;;;;;;;;48.869218, 2.237159
2012-04-30;22:55;75;Paris;75016;ALLEE DU BORD DE L EAU;ALLEE DU BORD DE L EAU;;ALLEE DU BORD DE L EAU;;Scoo<=50;A;;;;;Cond;BH;A;;;;;;;;;;48.869218, 2.237159
2012-10-22;08:40;75;Paris;75016;ALLEE DU BORD DE L EAU;ALLEE DU BORD DE L EAU;;ALLEE DU BORD DE L EAU;;VL;A;;;;;Cond;BL;A;;;;;;;;;;48.869218, 2.237159
